root_id,primary_type
829,Tm1
830,T5c
831,cM04
832,WEDPN6B
833,M_adPNm4b
834,Tm9
835,T5c
836,T5b
837,4D3
838,LC12
839,T5b
840,Tm4
841,LPi11
842,Y3
843,DC1_adPN
844,T3
845,JO-B
846,DNp39
847,T5a
848,cM04
849,KCg-m
850,4D2
851,CB1056
852,AN_GNG_131
853,CB3147
854,LC25
855,WEDPN6B
856,cM04
857,Dm10
858,TmY31
859,T5a
860,4D2
861,LAL043a
862,lLN2X12
863,CB1897
864,T5b
865,T3
866,CB2810
867,LMt4
868,T5d
869,KCab
870,CB2276
871,MTe01a
872,PVLP109
873,AN_GNG_SAD_32
874,TmY15
875,LC29
876,4D2
877,T5b
878,TmY14
879,T4a
880,DNg24
881,LPi10
882,CB1720
883,FR1
884,TmY11
885,CB2461
886,Pm09
887,T4b
888,Tm4
889,Dm10
890,Dm10
891,CB3013
892,T4d
893,TmY31
894,MLt8
895,LC29
896,KCab
897,T5d
898,BM_InOm
899,T4b
900,T4b
901,WEDPN6B
902,TmY14
903,KCab
904,MTe01a
905,T4b
906,T2
907,KCapbp-ap2
908,Dm10
909,LAL034
910,T5d
911,TmY15
912,LTe62
913,Dm10
914,TmY3
915,TmY15
916,Li01
917,CB1056
918,T5c
919,CL086_c
920,Y3
921,KCapbp-ap2
922,T5d
923,Tm31
924,KCg-m
925,M_adPNm4b
926,TmY11
927,Tm4
928,T4b
929,TmY5a
930,AN_GNG_13
931,BM_InOm
932,DNg07
933,CB3308
934,R1-6
935,CL062_b
936,SMP516a
937,Tm1
938,VES066
939,SMP153b
940,WEDPN6B
941,T2
942,OA-VUMx1
943,KCg-m
944,Dm10
945,R8
946,ORN_VC5
947,TmY31
948,T5d
949,T4d
950,T2
951,Tm31
952,Mi9
953,C2
954,CB2558
955,MTe01a
956,AN_GNG_SAD_32
957,Mi13
958,TmY14
959,CB3645
960,CB2810
961,Mi4
962,AN_GNG_13
963,Tm5a
964,WED051
965,Y4
966,AVLP292
967,KCab
968,Tm4
969,CB2696
970,PS142b
971,TmY5a
972,C3
973,Tm5d
974,Tm1
975,Sm06
976,R1-6
977,Sm02
978,R8
979,Tm21
980,R1-6
981,L1
982,R1-6
983,FS1A
984,R1-6
985,Sm16
986,SLP321
987,R1-6
988,Sm19
989,CB.FB5B1
990,L1
991,Mi10
992,C2
993,Dm2
994,Mi9
995,Dm3p
996,Dm3p
997,CB.FB5B1
998,Mi9
999,L3
1000,T5b
1001,Dm3p
1002,Sm19
1003,Mi9
1004,TmY16
1005,Dm3q
1006,Mi4
1007,vDeltaA
1008,R7
1009,KCapbp-m
1010,CB2810
1011,T4c
1012,Tm3
1013,Mi15
1014,CB1617
1015,Tm3
1016,Mi4
1017,R1-6
1018,Mi9
1019,Mi9
1020,Mi4
1021,Mi14
1022,Tm20
1023,LAL007
1024,Mi4
1025,L4
1026,Sm12
1027,Tm9
1028,CB1617
1029,vDeltaA
1030,Mi10
1031,Pm04
1032,Pm09
1033,T2
1034,TmY3
1035,lLN2X12
1036,KCab
1037,MTe01a
1038,KCg-m
1039,KCab
1040,Tm5a
1041,TmY3
1042,Tm4
1043,CB0977
1044,KCab
1045,TmY5a
1046,CB0915
1047,TmY15
1048,T3
1049,KCg-m
1050,ORN_DA4l
1051,KCapbp-m
1052,CB2342
1053,AN_GNG_SAD_32
1054,T5d
1055,CB2854
1056,T2
1057,CB1720
1058,TmY15
1059,Li01
1060,T5b
1061,CB2810
1062,CB1482
1063,cM04
1064,CB1766
1065,KCab
1066,CB1718
1067,CB3447
1068,LPi10
1069,Tm4
1070,LTe62
1071,DNpe032
1072,Tm4
1073,T4a
1074,Mi15
1075,TmY15
1076,CL086_c
1077,T4b
1078,4D2
1079,Li01
1080,LC25
1081,CB0540
1082,LC12
1083,AN_AVLP_GNG_19
1084,T5c
1085,CB1094
1086,Mi15
1087,Li01
1088,TmY14
1089,T5b
1090,T5b
1091,AN_AVLP_GNG_19
1092,LC16
1093,TmY10
1094,T5b
1095,CL029a
1096,AVLP283
1097,Dm10
1098,Li01
1099,Dm10
1100,TmY11
1101,TmY15
1102,T4b
1103,BM_InOm
1104,CB3793
1105,KCab
1106,CL089_b
1107,T5a
1108,T5b
1109,T2
1110,CB3114
1111,Mi2
1112,C3
1113,FS1A
1114,Sm12
1115,R8
1116,Mi4
1117,Dm2
1118,L1
1119,R1-6
1120,Mi4
1121,L5
1122,Mi2
1123,Sm01
1124,R8
1125,TmY15
1126,vDeltaA
1127,L2
1128,L1
1129,Mi4
1130,L5
1131,Mi4
1132,C3
1133,Mi15
1134,R1-6
1135,Tm27
1136,C3
1137,L2
1138,Mi4
1139,CB1107
1140,CB3864
1141,L1
1142,Mi4
1143,R8
1144,R7
1145,Tm2
1146,Mi9
1147,C3
1148,C2
1149,Tm1
1150,R7
1151,Dm16
1152,Dm3q
1153,C2
1154,R1-6
1155,Tm3
1156,FS1A
1157,vDeltaA
1158,C3
1159,Dm2
1160,Dm11
1161,Dm2
1162,CB.FB5B1
1163,L3
1164,T4c
1165,Tm20
1166,R1-6
1167,L3
1168,FS1A
1169,R8
1170,Tm3
1171,Mi1
1172,Tm36
1173,Dm3p
1174,AVLP441
1175,Tm2
1176,vDeltaA
1177,Tm2
1178,CB2558
1179,CB3447
1180,LC12
1181,MTe01a
1182,TmY15
1183,CB2696
1184,T5b
1185,CB1549
1186,TmY15
1187,CB3446
1188,LC29
1189,AVLP283
1190,KCapbp-ap1
1191,KCab
1192,Dm10
1193,CB1054
1194,TmY15
1195,M_adPNm4b
1196,T3
1197,LC29
1198,PVLP001
1199,T5a
1200,T4b
1201,LMt1
1202,CL086_a
1203,MLt8
1204,T2
1205,Tm31
1206,T5b
1207,AVLP457
1208,CB0240
1209,Y4
1210,CB1549
1211,Tm27
1212,TmY11
1213,T5b
1214,JO-FVA
1215,T4c
1216,KCg-m
1217,DNg08_a
1218,LHPV5b2
1219,Y4
1220,LTe60
1221,LC16
1222,LC25
1223,DNg08_a
1224,KCg-m
1225,Tlp1
1226,T2
1227,T5a
1228,M_adPNm4b
1229,T5d
1230,CB1718
1231,AVLP283
1232,TmY15
1233,ORN_DA4l
1234,lLN2X12
1235,PS142b
1236,Y1
1237,4D2
1238,TmY10
1239,T4b
1240,KCg-m
1241,LHCENT9
1242,TmY14
1243,T2
1244,TmY11
1245,AN_GNG_SAD_32
1246,CB2806
1247,Dm10
1248,TmY3
1249,TmY15
1250,LC25
1251,CB2696
1252,SMP516a
1253,AVLP283
1254,Y4
1255,T5c
1256,SMP021
1257,Dm10
1258,LHPD2d1
1259,LPi10
1260,LHAV3d1
1261,CB1897
1262,s-CPDN3C
1263,KCapbp-ap2
1264,Sm23
1265,SMP021
1266,Y1
1267,KCab
1268,T4a
1269,Mi4
1270,T5c
1271,DNge094
1272,SMP021
1273,CB2021
1274,PLP115_b
1275,CB3308
1276,CB2806
1277,LMt4
1278,T5a
1279,AN_GNG_69
1280,AN_AVLP_GNG_18
1281,AVLP457
1282,CB2806
1283,AN_AVLP_GNG_18
1284,CB.FB5D3
1285,T4a
1286,BM_InOm
1287,CB3788
1288,CB.FB5D3
1289,TmY11
1290,CB0817
1291,Tm4
1292,Y3
1293,TmY3
1294,KCab
1295,DNge007
1296,CB1718
1297,KCab
1298,Pm09
1299,Li01
1300,JO-B
1301,T5d
1302,T2
1303,T5d
1304,lLN2X12
1305,LTe60
1306,TmY5a
1307,MeMe_e12
1308,Pm09
1309,T5c
1310,T5b
1311,LC12
1312,T5c
1313,Tm4
1314,CB2021
1315,LPi10
1316,CB2558
1317,CB1054
1318,T2
1319,T5d
1320,TmY10
1321,AVLP283
1322,Y3
1323,LC22
1324,AVLP283
1325,LPi10
1326,TmY3
1327,TmY3
1328,KCg-m
1329,LPLC2
1330,CB2593
1331,ORN_VM4
1332,T4b
1333,MTe01a
1334,CL062_b
1335,Tm4
1336,CB2066
1337,Li01
1338,LC16
1339,T4a
1340,CB3261
1341,LPLC2
1342,DNg36_b
1343,LHPD2d1
1344,LC25
1345,LTe59
1346,ocellar_retinula_cell
1347,WEDPN2B
1348,CB2021
1349,PLP115_b
1350,PS303
1351,TmY5a
1352,v2LN42a
1353,KCg-m
1354,CL025
1355,DNge109
1356,TmY15
1357,KCab
1358,MLt8
1359,LPi10
1360,SMP540
1361,IB010
1362,ORN_VC5
1363,LC22
1364,LC25
1365,LMt1
1366,MTe21
1367,LPi10
1368,KCab
1369,KCab
1370,T4b
1371,TmY10
1372,LPLC1
1373,M_adPNm4b
1374,SMP016
1375,CB1718
1376,CB2228
1377,AVLP457
1378,VES002
1379,WEDPN2B
1380,CB3446
1381,AVLP283
1382,CB2558
1383,TmY15
1384,TmY31
1385,SMP018
1386,CL133
1387,TmY11
1388,AVLP283
1389,CB2342
1390,KCapbp-ap2
1391,T5c
1392,CB2696
1393,PLP158
1394,KCg-m
1395,Li01
1396,MeMe_e12
1397,Dm18
1398,TmY11
1399,M_adPNm4b
1400,KCab
1401,TmY11
1402,TmY15
1403,DNge136
1404,LC6
1405,ocellar_retinula_cell
1406,WED028
1407,LAL028
1408,LAL123
1409,T4d
1410,BM_Ant
1411,WED114
1412,aMe3
1413,BM_FrOr
1414,LAL120a
1415,BM_Vib
1416,BM_Taste
1417,BM_Fr
1418,cL22a
1419,AVLP420_b
1420,AVLP286
1421,AVLP209
1422,AVLP314
1423,untyped
1424,untyped
1425,AVLP390
1426,untyped
1427,untyped
1428,lLN2P_b
1429,AOTUv1A_T01
1430,untyped
1431,untyped
1432,untyped
1433,lLN2P_b
1434,untyped
1435,untyped
1436,untyped
1437,untyped
1438,untyped
1439,untyped
1440,AN_multi_70
1441,untyped
1442,AVLP029
1443,AOTU032
1444,AVLP087
1445,untyped
1446,LC31a
1447,untyped
1448,untyped
1449,DNbe007
1450,LC31a
1451,untyped
1452,AVLP255
1453,ATL026
1454,untyped
1455,LAL194
1456,AOTU041
1457,AVLP096
1458,BM_MaPa
1459,CRE004
1460,AVLP488
1461,AVLP282
1462,BM_Ant
1463,LAL131b
1464,AVLP300_b
1465,aMe9
1466,AVLP447
1467,LTe35
1468,CB1908
1469,CB0231
1470,CB0065
1471,PS051
1472,CB1760
1473,CB1482
1474,CL075b
1475,LPLC2
1476,TmY3
1477,WED060
1478,Dm10
1479,KCg-m
1480,CB2342
1481,ocellar_retinula_cell
1482,T5b
1483,CB1523
1484,Li01
1485,TmY11
1486,Pm09
1487,CB2126
1488,CB1054
1489,LPi10
1490,T5d
1491,CB2854
1492,TmY5a
1493,CB1054
1494,Mi9
1495,CB1002
1496,TmY3
1497,T4a
1498,KCab
1499,T2
1500,Y4
1501,SMP540
1502,TmY11
1503,TmY3
1504,T4b
1505,CB1622
1506,KCg-m
1507,T5a
1508,CB3570
1509,PVLP081
1510,DNge021
1511,LPi05
1512,KCab
1513,SMP540
1514,TmY3
1515,LC10a
1516,LPi10
1517,KCapbp-ap1
1518,T5a
1519,CB2558
1520,SMP540
1521,T5c
1522,Y3
1523,LC12
1524,Tm4
1525,T5c
1526,LC16
1527,CB3570
1528,KCapbp-ap2
1529,Tm8a
1530,Dm10
1531,KCab
1532,TmY5a
1533,T4b
1534,Dm4
1535,PS303
1536,Dm10
1537,BM_InOm
1538,KCg-m
1539,Tm31
1540,T4b
1541,DNg03
1542,Pm09
1543,KCab
1544,CB0844
1545,AN_GNG_46
1546,KCapbp-ap1
1547,LC29
1548,CB3569
1549,KCg-m
1550,TmY14
1551,CL266a
1552,cMLLP02
1553,T2
1554,LC10a
1555,Y4
1556,T4c
1557,T5d
1558,Mi9
1559,TmY15
1560,LMt4
1561,LMt1
1562,T5b
1563,T5a
1564,CB.FB5D3
1565,v2LN42a
1566,LPi10
1567,Pm09
1568,DNge088
1569,CL025
1570,CB3569
1571,TmY14
1572,L5
1573,CB1712
1574,LC29
1575,CB1712
1576,LHAV3d1
1577,Li01
1578,CB3446
1579,Tm4
1580,T5a
1581,LPi10
1582,T5b
1583,Tm4
1584,AN_GNG_46
1585,T3
1586,Pm09
1587,KCab
1588,BM_InOm
1589,Tm31
1590,T4b
1591,CB3114
1592,CB3568
1593,CB3568
1594,TmY3
1595,T2
1596,AN_GNG_SAD_32
1597,WED037
1598,LC12
1599,T5a
1600,Tm31
1601,AVLP268
1602,CB0915
1603,Li01
1604,CB1523
1605,T5b
1606,TmY31
1607,T4a
1608,Tm5a
1609,CB0155
1610,CB0129
1611,CB1320
1612,CB1908
1613,DNge021
1614,Tm31
1615,CL086_a
1616,LC22
1617,AVLP180
1618,PLP006
1619,DNg42
1620,CB1712
1621,T2
1622,KCg-m
1623,Pm09
1624,T5b
1625,KCab
1626,KCg-m
1627,CB3551
1628,TmY3
1629,KCg-m
1630,T5b
1631,T5d
1632,T5c
1633,CL062_b
1634,TmY5a
1635,Tm5a
1636,AVLP268
1637,T2
1638,TmY10
1639,KCab
1640,CB1712
1641,TmY10
1642,TmY5a
1643,CB1917
1644,AN_LAL_1
1645,CB3446
1646,T5d
1647,MTe01a
1648,lLN2X12
1649,Tm8a
1650,LMt1
1651,WEDPN2B
1652,Y3
1653,AVLP267
1654,ORN_VC5
1655,CB1523
1656,Y3
1657,Tm21
1658,TmY14
1659,R1-6
1660,Mi14
1661,MeTu1
1662,Mi2
1663,Sm06
1664,L1
1665,AN_FLA_PRW_2
1666,R1-6
1667,Tm20
1668,SMP166
1669,R1-6
1670,Tm3
1671,Mi15
1672,LAL199
1673,Pm09
1674,T5a
1675,T3
1676,KCab
1677,LC12
1678,Pm09
1679,LC10a
1680,BM_InOm
1681,Mi4
1682,Dm10
1683,T3
1684,T5b
1685,CB3261
1686,TmY3
1687,CB1712
1688,ORN_DA4l
1689,WED026
1690,T4d
1691,T5d
1692,LPi10
1693,TmY3
1694,Li01
1695,KCapbp-ap1
1696,T4c
1697,CB1366
1698,T5c
1699,Tm31
1700,LT53
1701,KCapbp-ap1
1702,PS023a
1703,AN_multi_19
1704,lLN2X12
1705,T5c
1706,CL062_b
1707,SLP265a
1708,LC16
1709,KCg-m
1710,CB1054
1711,DNg11
1712,BM_InOm
1713,JO-B
1714,PLP109
1715,T3
1716,CB1482
1717,SMP021
1718,Tm4
1719,Tm20
1720,Tm1
1721,TmY14
1722,T4b
1723,TmY14
1724,CB1054
1725,AN_GNG_45
1726,T5d
1727,T5a
1728,T5a
1729,Mi4
1730,Tm4
1731,Dm10
1732,PVLP081
1733,CB2558
1734,T3
1735,SMPp&v1B_H01
1736,KCab
1737,T4a
1738,PLP115_b
1739,PVLP081
1740,Li01
1741,TmY15
1742,Tm5a
1743,s-CPDN3C
1744,KCapbp-ap1
1745,Mi2
1746,L5
1747,ORN_DA4l
1748,Dm10
1749,KCapbp-m
1750,T5a
1751,SMP166
1752,Tm1
1753,Tm37
1754,R7
1755,T4c
1756,Sm02
1757,Dm3p
1758,R1-6
1759,Tm2
1760,C3
1761,Mi4
1762,Mi1
1763,T4c
1764,Mi4
1765,Mi4
1766,L3
1767,Sm21
1768,KCab
1769,Mi4
1770,LTe59
1771,Tm4
1772,TmY5a
1773,T3
1774,PLP006
1775,LPi10
1776,Dm10
1777,Tm21
1778,LC10e
1779,ORN_DA4l
1780,Li01
1781,Sm12
1782,T3
1783,TmY5a
1784,Tm9
1785,KCg-m
1786,MTe01a
1787,TmY3
1788,Mi15
1789,CB1444
1790,TmY10
1791,CB2297
1792,CB1523
1793,KCab
1794,KCab
1795,CB0618
1796,T4b
1797,KCg-m
1798,CL023
1799,KCg-m
1800,CB3551
1801,T2
1802,CB1622
1803,KCab
1804,T5c
1805,KCapbp-ap1
1806,Dm10
1807,PS142b
1808,T5d
1809,DNpe001
1810,LPi10
1811,T4d
1812,CB3308
1813,CB1556
1814,Pm09
1815,T5c
1816,T5a
1817,CB1523
1818,LB3
1819,CB1917
1820,CB1712
1821,T5b
1822,TmY15
1823,Dm10
1824,Tm4
1825,TmY10
1826,ORN_DA4l
1827,BM_InOm
